"","Hospital Name","City","State","County Name","Heart Attack Mortality","Heart Attack Readmission","Heart Failure Mortality","Heart Failure Readmission","Pneumonia Mortality","Pneumonia Readmission"
"2642","CLARA MAASS MEDICAL CENTER","BELLEVILLE","NJ","ESSEX","360","249","798","925","538","546"
"2643","UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO","PLAINSBORO","NJ","MIDDLESEX","277","190","548","593","440","430"
"2644","CAPE REGIONAL MEDICAL CENTER INC","CAPE MAY COURT HOUSE","NJ","CAPE MAY","128","61","565","668","584","619"
"2645","VALLEY HOSPITAL","RIDGEWOOD","NJ","BERGEN","809","843","1879","2278","1237","1210"
"2646","COOPER UNIVERSITY HOSPITAL","CAMDEN","NJ","CAMDEN","227","399","387","554","151","166"
"2647","MORRISTOWN MEMORIAL HOSPITAL","MORRISTOWN","NJ","MORRIS","700","1171","1058","1305","904","886"
"2648","CHRIST HOSPITAL","JERSEY CITY","NJ","HUDSON","189","143","451","566","251","247"
"2649","CHILTON HOSPITAL","POMPTON PLAINS","NJ","MORRIS","290","177","617","701","501","506"
"2650","ST JOSEPH'S REGIONAL MEDICAL CENTER","PATERSON","NJ","PASSAIC","380","399","1044","1254","585","591"
"2651","VA NEW JERSEY HEALTH CARE SYSTEM","EAST ORANGE                   ","NJ","ESSEX","12","10","151","199","105","108"
"2652","ST FRANCIS MEDICAL CENTER","TRENTON","NJ","MERCER","111","254","255","376","169","176"
"2653","VIRTUA WEST JERSEY HOSPITALS BERLIN","BERLIN","NJ","CAMDEN","719","511","1326","1536","1152","1145"
"2654","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY","RAHWAY","NJ","UNION","198","112","714","828","413","425"
"2655","BAYONNE HOSPITAL CENTER","BAYONNE","NJ","HUDSON","236","204","430","513","224","213"
"2656","TRINITAS REGIONAL MEDICAL CENTER","ELIZABETH","NJ","UNION","212","147","502","588","356","346"
"2657","NEWTON MEMORIAL HOSPITAL","NEWTON","NJ","SUSSEX","161","94","502","576","571","586"
"2658","OUR LADY OF LOURDES MEDICAL CENTER","CAMDEN","NJ","CAMDEN","466","832","677","886","369","370"
"2659","DEBORAH HEART AND LUNG CENTER","BROWNS MILLS","NJ","BURLINGTON","171","403","221","412","38","37"
"2660","SOUTH JERSEY HEALTHCARE REGIONAL MEDICAL CENTER","VINELAND","NJ","CUMBERLAND","287","174","903","1080","525","508"
"2661","RIVERVIEW MEDICAL CENTER","RED BANK","NJ","MONMOUTH","296","208","575","648","422","418"
"2662","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL","NEW BRUNSWICK","NJ","MIDDLESEX","553","1008","1224","1577","688","701"
"2663","RARITAN BAY MEDICAL CENTER","PERTH AMBOY","NJ","MIDDLESEX","352","246","823","1000","549","548"
"2664","HOBOKEN UNIVERSITY MEDICAL CENTER","HOBOKEN","NJ","HUDSON","73","42","259","335","241","258"
"2665","COMMUNITY MEDICAL CENTER","TOMS RIVER","NJ","OCEAN","982","662","2075","2443","1529","1545"
"2666","CAPITAL HEALTH MEDICAL CENTER - HOPEWELL","PENNINGTON","NJ","MERCER","91","53","280","332","144","141"
"2667","ENGLEWOOD HOSPITAL AND MEDICAL CENTER","ENGLEWOOD","NJ","BERGEN","414","456","763","938","518","520"
"2668","SHORE MEDICAL CENTER","SOMERS POINT","NJ","ATLANTIC","215","132","541","612","347","355"
"2669","SOMERSET MEDICAL CENTER","SOMERVILLE","NJ","SOMERSET","389","275","894","1021","687","655"
"2670","SAINT CLARE'S HOSPITAL","DENVILLE","NJ","MORRIS","357","220","882","1057","517","511"
"2671","OVERLOOK HOSPITAL","SUMMIT","NJ","UNION","408","302","1068","1210","928","927"
"2672","OCEAN MEDICAL CENTER","BRICK","NJ","OCEAN","416","254","1254","1443","744","734"
"2673","MOUNTAINSIDE HOSPITAL","MONTCLAIR","NJ","ESSEX","242","170","618","724","500","491"
"2674","VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY","MOUNT HOLLY","NJ","BURLINGTON","398","298","723","796","582","571"
"2675","BERGEN REGIONAL MEDICAL CENTER","PARAMUS","NJ","BERGEN","33","27","29","27","109","98"
"2676","ST LUKE'S WARREN HOSPITAL","PHILLIPSBURG","NJ","WARREN","89","53","337","388","289","274"
"2677","LOURDES MEDICAL CENTER OF BURLINGTON COUNTY","WILLINGBORO","NJ","BURLINGTON","157","93","375","442","197","195"
"2678","ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV","ATLANTIC CITY","NJ","ATLANTIC","544","563","991","1219","681","676"
"2679","SOUTH JERSEY HEALTHCARE-ELMER HOSPITAL","ELMER","NJ","SALEM","103","58","256","298","228","227"
"2680","SAINT PETER'S UNIVERSITY HOSPITAL","NEW BRUNSWICK","NJ","MIDDLESEX","204","125","454","531","465","470"
"2681","JERSEY SHORE UNIVERSITY MEDICAL CENTER","NEPTUNE","NJ","MONMOUTH","565","1132","1264","1736","506","478"
"2682","LIBERTYHEALTH-JERSEY CITY MEDICAL CENTER CAMPUS","JERSEY CITY","NJ","HUDSON","188","222","388","515","149","160"
"2683","MONMOUTH MEDICAL CENTER","LONG BRANCH","NJ","MONMOUTH","193","149","476","535","336","342"
"2684","SAINT BARNABAS MEDICAL CENTER","LIVINGSTON","NJ","ESSEX","413","497","958","1158","649","645"
"2685","UNDERWOOD - MEMORIAL HOSPITAL","WOODBURY","NJ","GLOUCESTER","311","211","695","819","464","464"
"2686","EAST ORANGE GENERAL HOSPITAL","EAST ORANGE","NJ","ESSEX","111","99","337","396","211","202"
"2687","KIMBALL MEDICAL CENTER","LAKEWOOD","NJ","OCEAN","289","175","554","642","484","506"
"2688","KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV","STRATFORD","NJ","CAMDEN","435","294","1220","1474","1142","1176"
"2689","MEMORIAL HOSPITAL OF SALEM COUNTY","SALEM","NJ","SALEM","92","47","247","326","275","266"
"2690","CAPITAL HEALTH SYSTEM-FULD CAMPUS","TRENTON","NJ","MERCER","65","25","292","323","188","179"
"2691","SAINT MICHAEL'S MEDICAL CENTER, INC","NEWARK","NJ","ESSEX","142","304","594","773","204","201"
"2692","JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY","EDISON","NJ","MIDDLESEX","513","347","1089","1228","814","794"
"2693","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON","HAMILTON","NJ","MERCER","254","149","725","828","504","478"
"2694","CENTRASTATE MEDICAL CENTER","FREEHOLD","NJ","MONMOUTH","230","109","658","762","693","688"
"2695","BAYSHORE COMMUNITY HOSPITAL","HOLMDEL","NJ","MONMOUTH","261","181","482","557","395","398"
"2696","SOUTHERN OCEAN MEDICAL CENTER","MANAHAWKIN","NJ","OCEAN","243","142","454","509","424","412"
"2697","HACKETTSTOWN REGIONAL MEDICAL CENTER","HACKETTSTOWN","NJ","WARREN","149","99","360","429","183","188"
"2698","MEADOWLANDS HOSPITAL MEDICAL CENTER","SECAUCUS","NJ","HUDSON","38","24","195","251","136","130"
"2699","UMDNJ UNIVERSITY HOSPITAL","NEWARK","NJ","ESSEX","52","67","129","196","86","93"
"2700","SAINT CLARE'S HOSPITAL/SUSSEX","SUSSEX","NJ","SUSSEX","26","18","85","94","70","70"
"2701","UNM HOSPITAL","ALBUQUERQUE","NM","BERNALILLO","126","144","143","171","164","178"
"2702","ST VINCENT HOSPITAL","SANTA FE","NM","SANTA FE","192","171","201","250","263","281"
"2703","ALTA VISTA REGIONAL HOSPITAL","LAS VEGAS","NM","SAN MIGUEL","17","6","79","93","117","119"
"2704","GERALD CHAMPION REGIONAL MEDICAL CENTE","ALAMOGORDO","NM","OTERO","38","19","124","136","177","179"
"2705","SAN JUAN REGIONAL MEDICAL CENTER","FARMINGTON","NM","SAN JUAN","170","157","274","315","412","437"
"2706","EASTERN NEW MEXICO MEDICAL CENTER","ROSWELL","NM","CHAVES","127","101","174","214","273","286"
"2707","LOVELACE MEDICAL CENTER","ALBUQUERQUE","NM","BERNALILLO","130","136","109","140","118","122"
"2708","ESPANOLA HOSPITAL","ESPANOLA","NM","RIO ARRIBA","6","4","44","51","124","123"
"2709","HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS","TAOS","NM","TAOS","14","13","62","69","178","190"
"2710","MIMBRES MEMORIAL HOSPITAL","DEMING","NM","LUNA","19","10","88","92","61","58"
"2711","GILA REGIONAL MEDICAL CENTER","SILVER CITY","NM","GRANT","24","15","121","143","149","158"
"2712","LOVELACE WOMEN'S HOSPITAL","ALBUQUERQUE","NM","BERNALILLO","6","5","26","27","66","76"
"2713","MEMORIAL MEDICAL CENTER INC","LAS CRUCES","NM","DONA ANA","179","178","208","252","399","400"
"2714","PRESBYTERIAN HOSPITAL","ALBUQUERQUE","NM","BERNALILLO","444","445","428","492","657","688"
"2715","PLAINS REGIONAL MEDICAL CENTER  CLOVIS","CLOVIS","NM","CURRY","30","20","125","144","193","199"
"2716","ARTESIA GENERAL HOSPITAL","ARTESIA","NM","EDDY","17","11","28","35","97","103"
"2717","LOS ALAMOS MEDICAL CENTER","LOS ALAMOS","NM","LOS ALAMOS","3","1","36","39","79","82"
"2718","REHOBOTH MCKINLEY CHRISTIAN HEALTH SER","GALLUP","NM","MCKINLEY","11","9","76","91","178","198"
"2719","SANTA FE PHS INDIAN HOSPITAL","SANTA FE","NM","SANTA FE","Not Available","Not Available","1","2","11","11"
"2720","MESCALERO PHS INDIAN HOSPITAL","MESCALERO","NM","OTERO","Not Available","Not Available","1","2","15","17"
"2721","NORTHERN NAVAJO MEDICAL CENTER","SHIPROCK","NM","SAN JUAN","5","3","46","66","231","247"
"2722","ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER","ZUNI","NM","MCKINLEY","4","1","7","10","44","46"
"2723","GALLUP INDIAN MEDICAL CENTER","GALLUP","NM","MCKINLEY","6","5","53","66","201","213"
"2724","CROWNPOINT HEALTHCARE FACILITY","CROWNPOINT","NM","MCKINLEY","3","3","15","20","60","59"
"2725","CARLSBAD MEDICAL CENTER","CARLSBAD","NM","EDDY","68","46","128","160","152","164"
"2726","LEA REGIONAL MEDICAL CENTER","HOBBS","NM","LEA","26","13","74","98","64","66"
"2727","GUADALUPE COUNTY HOSPITAL","SANTA ROSA","NM","GUADALUPE","6","3","16","21","21","22"
"2728","DHHS USPHS INDIAN HEALTH SERVICES","SAN FIDEL","NM","CIBOLA","1","1","7","11","20","20"
"2729","LOVELACE WESTSIDE HOSPITAL","ALBUQUERQUE","NM","SANDOVAL","4","Not Available","29","36","86","98"
"2730","ROOSEVELT GENERAL HOSPITAL","PORTALES","NM","ROOSEVELT","8","10","48","70","129","151"
"2731","MOUNTAIN VIEW REGIONAL MEDICAL CENTER","LAS CRUCES","NM","DONA ANA","263","321","203","235","321","326"
"2732","LOVELACE REGIONAL HOSPITAL - ROSWELL","ROSWELL","NM","CHAVES","15","4","119","129","64","70"
"2733","SIERRA VISTA HOSPITAL","T OR C","NM","SIERRA","1","1","31","28","70","75"
"2734","SOCORRO GENERAL HOSPITAL","SOCORRO","NM","SOCORRO","4","3","39","51","60","60"
"2735","DR DAN C TRIGG MEMORIAL HOSPITAL","TUCUMCARI","NM","QUAY","3","2","19","22","52","51"
"2736","UNION COUNTY GENERAL HOSPITAL","CLAYTON","NM","UNION","1","Not Available","21","22","34","35"
"2737","NOR LEA GENERAL HOSPITAL","LOVINGTON","NM","LEA","2","1","37","52","121","122"
"2738","LINCOLN COUNTY MEDICAL CENTER","RUIDOSO","NM","LINCOLN","4","3","46","51","72","59"
"2739","MINERS' COLFAX MEDICAL CENTER","RATON","NM","COLFAX","25","15","50","60","88","88"
"2740","CIBOLA GENERAL HOSPITAL","GRANTS","NM","CIBOLA","4","3","32","35","59","60"
"2741","PENINSULA HOSPITAL CENTER","FAR ROCKAWAY","NY","QUEENS","25","15","146","163","184","178"
"2742","ALBANY MEMORIAL HOSPITAL","ALBANY","NY","ALBANY","58","41","220","239","286","292"
"2743","KINGSTON HOSPITAL","KINGSTON","NY","ULSTER","166","117","370","423","369","362"
"2744","KALEIDA HEALTH","BUFFALO","NY","ERIE","685","753","1069","1297","806","815"
"2745","ST JOSEPH'S MEDICAL CENTER","YONKERS","NY","WESTCHESTER","62","41","210","225","205","209"
"2746","WYOMING COUNTY COMMUNITY HOSPITAL","WARSAW","NY","WYOMING","25","18","74","90","114","109"
"2747","BRONX-LEBANON HOSPITAL CENTER","BRONX","NY","BRONX","60","42","164","182","134","133"
"2748","OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC","BINGHAMTON","NY","BROOME","233","182","472","552","581","613"
"2749","ALBANY MEDICAL CENTER HOSPITAL","ALBANY","NY","ALBANY","300","401","301","401","219","224"
"2750","JAMAICA HOSPITAL MEDICAL CENTER","JAMAICA","NY","QUEENS","323","199","334","393","162","169"
"2751","NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.","BROOKLYN","NY","KINGS","173","112","551","620","275","253"
"2752","VASSAR BROTHERS MEDICAL CENTER","POUGHKEEPSIE","NY","DUTCHESS","504","564","1088","1291","758","759"
"2753","MOUNT SINAI HOSPITAL","NEW YORK","NY","NEW YORK","415","607","1156","1508","885","872"
"2754","NASSAU UNIVERSITY MEDICAL CENTER","EAST MEADOW","NY","NASSAU","102","58","194","196","183","173"
"2755","RICHMOND UNIVERSITY MEDICAL CENTER","STATEN ISLAND","NY","RICHMOND","124","76","184","217","247","232"
"2756","SHEEHAN MEMORIAL HOSPITAL","BUFFALO","NY","ERIE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"2757","NEWARK-WAYNE COMMUNITY HOSPITAL","NEWARK","NY","WAYNE","57","35","143","159","169","163"
"2758","CHENANGO MEMORIAL HOSPITAL, INC","NORWICH","NY","CHENANGO","78","63","128","130","152","142"
"2759","LAKESIDE MEMORIAL HOSPITAL","BROCKPORT","NY","MONROE","34","26","99","113","106","116"
"2760","SOUTHSIDE HOSPITAL","BAY SHORE","NY","SUFFOLK","260","211","549","630","355","335"
"2761","FAXTON-ST LUKE'S HEALTHCARE","UTICA","NY","ONEIDA","206","166","604","630","641","619"
"2762","HUNTINGTON HOSPITAL","HUNTINGTON","NY","SUFFOLK","283","202","877","1016","717","692"
"2763","ST LUKE'S ROOSEVELT HOSPITAL","NEW YORK","NY","NEW YORK","363","339","582","710","557","570"
"2764","ST MARY'S HOSPITAL AT AMSTERDAM","AMSTERDAM","NY","MONTGOMERY","147","120","413","496","234","241"
"2765","NORTHERN DUTCHESS HOSPITAL","RHINEBECK","NY","DUTCHESS","60","42","146","161","99","102"
"2766","MEDINA MEMORIAL HOSPITAL","MEDINA","NY","ORLEANS","52","39","114","125","126","126"
"2767","NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS","FLUSHING","NY","QUEENS","398","364","1102","1282","933","867"
"2768","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","BROOKLYN","NY","KINGS","121","73","254","285","201","192"
"2769","ST PETER'S HOSPITAL","ALBANY","NY","ALBANY","521","660","673","796","712","712"
"2770","GENEVA GENERAL HOSPITAL","GENEVA","NY","ONTARIO","51","31","165","174","146","142"
"2771","MONTEFIORE MEDICAL CENTER","BRONX","NY","BRONX","514","598","1153","1450","838","846"
"2772","LAWRENCE HOSPITAL CENTER","BRONXVILLE","NY","WESTCHESTER","111","52","399","442","373","356"
"2773","NEW YORK DOWNTOWN HOSPITAL","NEW YORK","NY","NEW YORK","68","32","165","182","301","283"
"2774","NIAGARA FALLS MEMORIAL MEDICAL CENTER","NIAGARA FALLS","NY","NIAGARA","67","54","153","177","121","124"
"2775","ST FRANCIS HOSPITAL","POUGHKEEPSIE","NY","DUTCHESS","60","44","130","133","203","202"
"2776","UNITED MEMORIAL MEDICAL CENTER","BATAVIA","NY","GENESEE","44","22","187","197","195","190"
"2777","F F THOMPSON HOSPITAL","CANANDAIGUA","NY","ONTARIO","56","36","107","126","185","186"
"2778","SISTERS OF CHARITY HOSPITAL","BUFFALO","NY","ERIE","136","101","413","481","244","250"
"2779","ADIRONDACK MEDICAL CENTER","SARANAC LAKE","NY","FRANKLIN","70","49","117","128","125","122"
"2780","LINCOLN MEDICAL & MENTAL HEALTH CENTER","BRONX","NY","BRONX","93","47","101","157","105","105"
"2781","ALICE HYDE MEDICAL CENTER","MALONE","NY","FRANKLIN","43","18","81","91","144","149"
"2782","AURELIA OSBORN FOX MEMORIAL HOSPITAL","ONEONTA","NY","OTSEGO","101","71","269","333","252","239"
"2783","MOUNT VERNON HOSPITAL","MOUNT VERNON","NY","WESTCHESTER","49","32","134","148","65","63"
"2784","EASTERN LONG ISLAND HOSPITAL","GREENPORT","NY","SUFFOLK","40","30","105","117","118","114"
"2785","ARNOT OGDEN MEDICAL CENTER","ELMIRA","NY","CHEMUNG","314","340","364","409","532","565"
"2786","COLUMBIA MEMORIAL HOSPITAL","HUDSON","NY","COLUMBIA","171","133","329","386","305","340"
"2787","JONES MEMORIAL HOSPITAL","WELLSVILLE","NY","ALLEGANY","32","22","139","158","132","125"
"2788","NY EYE AND EAR INFIRMARY","NEW YORK","NY","NEW YORK","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"2789","NEW YORK-PRESBYTERIAN HOSPITAL","NEW YORK","NY","NEW YORK","883","1435","1839","2401","1350","1342"
"2790","KENMORE MERCY HOSPITAL","KENMORE","NY","ERIE","112","84","278","321","115","112"
"2791","OLEAN GENERAL HOSPITAL","OLEAN","NY","CATTARAUGUS","160","126","357","377","286","276"
"2792","NYACK HOSPITAL","NYACK","NY","ROCKLAND","150","96","457","506","562","587"
"2793","NORTH SHORE UNIVERSITY HOSPITAL","MANHASSET","NY","NASSAU","680","923","1257","1549","1296","1261"
"2794","PECONIC BAY MEDICAL CENTER","RIVERHEAD","NY","SUFFOLK","148","74","344","394","231","227"
"2795","ST JOSEPH'S HOSPITAL, INC","ELMIRA","NY","CHEMUNG","59","47","152","166","355","355"
"2796","BERTRAND CHAFFEE HOSPITAL","SPRINGVILLE","NY","ERIE","19","13","47","61","139","143"
"2797","ONEIDA HEALTHCARE CENTER","ONEIDA","NY","MADISON","19","7","95","91","149","140"
"2798","LENOX HILL HOSPITAL","NEW YORK","NY","NEW YORK","302","474","572","736","500","510"
"2799","BATH VA MEDICAL CENTER","BATH                          ","NY","STEUBEN","5","4","51","62","171","206"
"2800","ROCHESTER GENERAL HOSPITAL","ROCHESTER","NY","MONROE","394","515","641","819","329","358"
"2801","ORANGE REGIONAL MEDICAL CENTER","MIDDLETOWN","NY","ORANGE","372","263","795","892","858","879"
"2802","JACOBI MEDICAL CENTER","BRONX","NY","BRONX","98","72","127","161","89","92"
"2803","ELMHURST HOSPITAL CENTER","ELMHURST","NY","QUEENS","148","114","184","230","214","231"
"2804","UPSTATE NEW YORK VA HEALTHCARE SYSTEM (WESTERN NY VA HEALTHCARE SYSTEM)","BUFFALO                       ","NY","ERIE","152","162","352","414","351","355"
"2805","TLC HEALTH NETWORK","GOWANDA","NY","CATTARAUGUS","20","15","94","92","113","115"
"2806","BON SECOURS COMMUNITY HOSPITAL","PORT JERVIS","NY","ORANGE","70","51","191","206","156","160"
"2807","MARY IMOGENE BASSETT HOSPITAL","COOPERSTOWN","NY","OTSEGO","238","256","324","390","270","299"
"2808","CANANDAIGUA VA MEDICAL CENTER","CANANDAIGUA                   ","NY","ONTARIO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"2809","ST JOSEPH'S HOSPITAL HEALTH CENTER","SYRACUSE","NY","ONONDAGA","741","1012","1000","1174","1245","1256"
"2810","BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER","PATCHOGUE","NY","SUFFOLK","386","245","660","746","770","760"
"2811","IRA DAVENPORT MEMORIAL HOSPITAL, INC","BATH","NY","STEUBEN","20","14","77","86","109","111"
"2812","ST JAMES MERCY HOSPITAL","HORNELL","NY","STEUBEN","38","31","69","75","193","217"
"2813","ELLIS HOSPITAL","SCHENECTADY","NY","SCHENECTADY","556","561","857","965","525","507"
"2814","SAMARITAN MEDICAL CENTER","WATERTOWN","NY","JEFFERSON","104","48","357","383","280","284"
"2815","GOOD SAMARITAN HOSPITAL OF SUFFERN","SUFFERN","NY","ROCKLAND","465","523","465","605","345","352"
"2816","VA HUDSON VALLEY HEALTHCARE SYSTEM","MONTROSE                      ","NY","WESTCHESTER","5","4","79","95","96","105"
"2817","STATEN ISLAND UNIVERSITY HOSPITAL","STATEN ISLAND","NY","RICHMOND","488","469","701","816","557","537"
"2818","NORTHERN WESTCHESTER HOSPITAL","MOUNT KISCO","NY","WESTCHESTER","96","55","330","390","351","377"
"2819","EASTERN NIAGARA HOSPITAL","LOCKPORT","NY","NIAGARA","112","81","205","232","306","306"
"2820","HIGHLAND HOSPITAL","ROCHESTER","NY","MONROE","73","67","278","305","306","322"
"2821","WESTFIELD MEMORIAL HOSPITAL, INC","WESTFIELD","NY","CHAUTAUQUA","1","1","4","3","20","21"
"2822","WINTHROP-UNIVERSITY HOSPITAL","MINEOLA","NY","NASSAU","473","546","978","1188","764","755"
"2823","BETH ISRAEL MEDICAL CENTER","NEW YORK","NY","NEW YORK","581","509","1220","1449","1022","987"
"2824","CORTLAND REGIONAL MEDICAL CENTER, INC","CORTLAND","NY","CORTLAND","61","25","218","239","421","454"
"2825","EDWARD JOHN  NOBLE HOSPITAL OF GOUVERNEUR","GOUVERNEUR","NY","SAINT LAWRENCE","16","8","105","118","61","55"
"2826","VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.","NEW YORK                      ","NY","NEW YORK","137","188","511","668","341","370"
"2827","SAMARITAN HOSPITAL","TROY","NY","RENSSELAER","77","55","175","199","270","281"
"2828","GLEN COVE HOSPITAL","GLEN COVE","NY","NASSAU","162","107","479","538","339","313"
"2829","ST FRANCIS HOSPITAL, ROSLYN","ROSLYN","NY","NASSAU","616","1093","1366","1700","445","437"
"2830","SOUND SHORE MEDICAL CENTER OF WESTSCHESTER","NEW ROCHELLE","NY","WESTCHESTER","198","129","369","453","225","211"
"2831","JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON","PORT JEFFERSON","NY","SUFFOLK","340","222","660","731","536","514"
"2832","MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","LEWISTON","NY","NIAGARA","149","127","275","321","207","202"
"2833","GLENS FALLS HOSPITAL","GLENS FALLS","NY","WARREN","328","268","489","565","524","521"
"2834","FLUSHING HOSPITAL MEDICAL CENTER","FLUSHING","NY","QUEENS","207","139","332","323","338","297"
"2835","MAIMONIDES MEDICAL CENTER","BROOKLYN","NY","KINGS","835","864","1421","1790","833","848"
"2836","LONG ISLAND JEWISH MEDICAL CENTER","NEW HYDE PARK","NY","NASSAU","283","359","744","955","410","398"
"2837","CONEY ISLAND HOSPITAL","BROOKLYN","NY","KINGS","183","116","550","657","248","238"
"2838","CANTON-POTSDAM HOSPITAL","POTSDAM","NY","SAINT LAWRENCE","48","20","158","190","239","256"
"2839","SOUTH NASSAU COMMUNITIES HOSPITAL","OCEANSIDE","NY","NASSAU","458","394","822","949","500","482"
"2840","METROPOLITAN HOSPITAL CENTER","NEW YORK","NY","NEW YORK","37","26","41","54","35","33"
"2841","NORTHPORT VA MEDICAL CENTER","NORTHPORT                     ","NY","SUFFOLK","36","31","245","307","231","237"
"2842","KINGSBROOK JEWISH MEDICAL CENTER","BROOKLYN","NY","KINGS","32","22","214","258","226","216"
"2843","KINGS COUNTY HOSPITAL CENTER","BROOKLYN","NY","KINGS","43","21","122","171","100","94"
"2844","CROUSE HOSPITAL","SYRACUSE","NY","ONONDAGA","221","214","587","658","554","539"
"2845","BELLEVUE HOSPITAL CENTER","NEW YORK","NY","NEW YORK","86","172","110","179","98","114"
"2846","ST ANTHONY COMMUNITY HOSPITAL","WARWICK","NY","ORANGE","48","36","159","193","189","192"
